source,target
16: peace justice and strong institutions,16.3.2: Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms
16: peace justice and strong institutions,16.3.3: Un-sentenced detainees as a proportion of overall prison population
16: peace justice and strong institutions,"16.3.4: Proportion of seized small arms and light weapons that are recorded and traced, in accordance with international standards and legal instruments"
16: peace justice and strong institutions,16.3.5: Good governance (Reported along a scale of -2.5 to 2.5. Higher values correspond to good governance) for control of corruption
16: peace justice and strong institutions,16.4.1: Volume of illicit financial flows
16: peace justice and strong institutions,16.4.2: Stolen assets recovery initiatives
16: peace justice and strong institutions,16.5.1: People's perception on corruption (% of people with at least one instance in the past 12 months that require to give a bribe/present) (Corruption index score)
16: peace justice and strong institutions,16.6.1: Quality of public administration (score out of 6)
16: peace justice and strong institutions,16.6.2: Actual budget expenditure as percent of budget estimate
16: peace justice and strong institutions,16.6.3: Proportion of the population satisfied with their last experience of public services
16: peace justice and strong institutions,16.7.1: Voter turnout (%)
16: peace justice and strong institutions,16.7.2: Proportions of decision making positions held by women in public institutions
16: peace justice and strong institutions,"16.7.3: Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group"
16: peace justice and strong institutions,16.9.1: Birth registration (% of children under age 5 whose births are registered)
16: peace justice and strong institutions,16.9.2: Birth registration by gender and social groups
16: peace justice and strong institutions,16.9.3: Citizenship by gender and social groups
16: peace justice and strong institutions,"16.10.2: Freedom score (Combined with freedom of speech, freedom of assemblies and association, electoral self-determination)"
16: peace justice and strong institutions,16.10.3: Access to information (%)
16: peace justice and strong institutions,"16.a.1: Number of trainings received by relevant institutions (Police and military personnel, NGOs, Civil Societies, Bureaucrats)"
16: peace justice and strong institutions,16.b.1: Number of laws and policies that are discriminatory
16: peace justice and strong institutions,16.b.2: Number of laws and policies that are amended
16: peace justice and strong institutions,16.b.3: Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law
17: partnerships for the goals,"17.1.1: Total government revenue as a proportion of GDP, (%)"
17: partnerships for the goals,"17.1.2: Domestic expenditure financed by domestic revenue,"
17: partnerships for the goals,"17.2.1: Net official development assistance, as a proportion of OECD/DAC gross national income (GNI)"
17: partnerships for the goals,"17.3.1: Official development assistance as a proportion of total domestic budget, (%)"
17: partnerships for the goals,17.3.2: FDI as a proportion of GDP (Inward stock) (%)
17: partnerships for the goals,17.3.3: Volume of remittances (in US dollars) as a proportion of total GDP (%)
17: partnerships for the goals,17.4.1: Outstanding Debt to GDP Ratio (%)
17: partnerships for the goals,17.4.2: Debt service ratio to Export of Goods and Services
17: partnerships for the goals,17.7.2: Internet Density (per 100 person)
17: partnerships for the goals,"17.9.1: Dollar value of financial and technical assistance (including through NorthSouth, South-South and triangular cooperation) committed to developing countries"
1.1.1: Population below US$ 1.25 per day (ppp value) (%) $1.25 a day, cash received (rs.)
1.1.1: Population below US$ 1.25 per day (ppp value) (%) $1.25 a day, value of in-kind - rs/whole period
1.1.1: Population below US$ 1.25 per day (ppp value) (%) $1.25 a day, received as salary/month
1.1.1: Population below US$ 1.25 per day (ppp value) (%) $1.25 a day, received as transport/month
1.1.1: Population below US$ 1.25 per day (ppp value) (%) $1.25 a day, received as bonus/year
1.1.1: Population below US$ 1.25 per day (ppp value) (%) $1.25 a day, received as uniform/year
1.1.1: Population below US$ 1.25 per day (ppp value) (%) $1.25 a day, received as payments/year
1.1.1: Population below US$ 1.25 per day (ppp value) (%) $1.25 a day, yearly income
1.1.1: Population below US$ 1.25 per day (ppp value) (%) $1.25 a day, total income from livestock
1.1.1: Population below US$ 1.25 per day (ppp value) (%) $1.25 a day, amount received from selling equipments (rs.)
1.1.1: Population below US$ 1.25 per day (ppp value) (%) $1.25 a day, net revenues from entreprises
1.1.1: Population below US$ 1.25 per day (ppp value) (%) $1.25 a day, amount of interest
1.1.1: Population below US$ 1.25 per day (ppp value) (%) $1.25 a day, rent received in 12 months (rs.)
1.1.1: Population below US$ 1.25 per day (ppp value) (%) $1.25 a day, value of sold assets (rs)
1.1.1: Population below US$ 1.25 per day (ppp value) (%) $1.25 a day, value a year ago (rs.)
1.1.1: Population below US$ 1.25 per day (ppp value) (%) $1.25 a day, cash received in remittance (rs.)
1.1.1: Population below US$ 1.25 per day (ppp value) (%) $1.25 a day, in-kind received in remittance (rs.)
1.1.2: Poverty gap ratio at US$ 1.25 per day, cash received (rs.)
1.1.2: Poverty gap ratio at US$ 1.25 per day, value of in-kind - rs/whole period
1.1.2: Poverty gap ratio at US$ 1.25 per day, received as salary/month
1.1.2: Poverty gap ratio at US$ 1.25 per day, received as transport/month
1.1.2: Poverty gap ratio at US$ 1.25 per day, received as bonus/year
1.1.2: Poverty gap ratio at US$ 1.25 per day, received as uniform/year
1.1.2: Poverty gap ratio at US$ 1.25 per day, received as payments/year
1.1.2: Poverty gap ratio at US$ 1.25 per day, yearly income
1.1.2: Poverty gap ratio at US$ 1.25 per day, total income from livestock
1.1.2: Poverty gap ratio at US$ 1.25 per day, amount received from selling equipments (rs.)
1.1.2: Poverty gap ratio at US$ 1.25 per day, net revenues from entreprises
1.1.2: Poverty gap ratio at US$ 1.25 per day, amount of interest
1.1.2: Poverty gap ratio at US$ 1.25 per day, rent received in 12 months (rs.)
1.1.2: Poverty gap ratio at US$ 1.25 per day, value of sold assets (rs)
1.1.2: Poverty gap ratio at US$ 1.25 per day, value a year ago (rs.)
1.1.2: Poverty gap ratio at US$ 1.25 per day, cash received in remittance (rs.)
1.1.2: Poverty gap ratio at US$ 1.25 per day, in-kind received in remittance (rs.)
1.1.3: Poverty $1.9 Per day, cash received (rs.)
1.1.3: Poverty $1.9 Per day, value of in-kind - rs/whole period
1.1.3: Poverty $1.9 Per day, received as salary/month
1.1.3: Poverty $1.9 Per day, received as transport/month
1.1.3: Poverty $1.9 Per day, received as bonus/year
1.1.3: Poverty $1.9 Per day, received as uniform/year
1.1.3: Poverty $1.9 Per day, received as payments/year
1.1.3: Poverty $1.9 Per day, yearly income
1.1.3: Poverty $1.9 Per day, total income from livestock
1.1.3: Poverty $1.9 Per day, amount received from selling equipments (rs.)
1.1.3: Poverty $1.9 Per day, net revenues from entreprises
1.1.3: Poverty $1.9 Per day, amount of interest
1.1.3: Poverty $1.9 Per day, rent received in 12 months (rs.)
1.1.3: Poverty $1.9 Per day, value of sold assets (rs)
1.1.3: Poverty $1.9 Per day, value a year ago (rs.)
1.1.3: Poverty $1.9 Per day, cash received in remittance (rs.)
1.1.3: Poverty $1.9 Per day, in-kind received in remittance (rs.)
1.1.4: Per capita Gross National Income (GNI) (US$),Total population
1.1.4: Per capita Gross National Income (GNI) (US$),Gross Domestic Product  (GDP)
1.2.1: Population below national poverty line,food item name
1.2.1: Population below national poverty line, food consumed
1.2.1: Population below national poverty line, home-prod-12-mo/number of months
1.2.1: Population below national poverty line, a: home-prod-12-mo/quantity
1.2.1: Population below national poverty line, b: home-prod-12-mo/measurement unit
1.2.1: Population below national poverty line, home-prod-12-mo/value
1.2.1: Population below national poverty line, purchases-12-mo/number of months
1.2.1: Population below national poverty line, a: purchases-12-mo/quantity
1.2.1: Population below national poverty line, b: purchases-12-mo/measurement unit
1.2.1: Population below national poverty line, purchases-12-mo/value
1.2.1: Population below national poverty line, in-kind-12-mo/value
1.2.1: Population below national poverty line, consumed-7-days/number of days
1.2.1: Population below national poverty line, a: consumed-7-days/quantity
1.2.1: Population below national poverty line, b: consumed-7-days/measurement unit
1.2.1: Population below national poverty line, consumed-7-days/value
1.2.1: Population below national poverty line, consumed-7-days/source
1.2.2: Women of all ages below national poverty line,food item name
1.2.2: Women of all ages below national poverty line, food consumed
1.2.2: Women of all ages below national poverty line, home-prod-12-mo/number of months
1.2.2: Women of all ages below national poverty line, a: home-prod-12-mo/quantity
1.2.2: Women of all ages below national poverty line, b: home-prod-12-mo/measurement unit
1.2.2: Women of all ages below national poverty line, home-prod-12-mo/value
1.2.2: Women of all ages below national poverty line, purchases-12-mo/number of months
