Recipient Organization,deliverychannel,,
Fundación para las Relaciones Internacionales y el Diálogo Exterior,NGOs and CSOs,,
Fundacion Paz - Holandesa,NGOs and CSOs,,
Fundacion Promocion Social de la Cultura,NGOs and CSOs,,
Funksjonshemmedes fellesorganisasjon,Other,,
Future of Orphans,NGOs and CSOs,,
FXB -  François-Xavier Bagnoud,NGOs and CSOs,,
G.havanbedrijf Antwerpen,Other,,
GAAC,Other,,
Gabon,Public sector,,
Gaddafi InterNational Charity and Development Foundation (GICDF),NGOs and CSOs,,
Galicia Humanitarian Agency Foundation,NGOs and CSOs,,
Gamarra's Merchant Commission,Other,,
Gambia,Public sector,,
Gap Inc.,Other,,
GAPAR - Syrian General Authority for Palestine Arab Refugees,Public sector,,
Gargaaar Relief and Development Organization,NGOs and CSOs,,
GAVI Alliance,Other,,
Gaza Community Mental Health Programme,NGOs and CSOs,,
Gaza Zakat Committee,Public sector,,
GCIDS,Other,,
GDPI,Other,,
GE Foundation,NGOs and CSOs,,
GEA Society,Other,,
GEAD,NGOs and CSOs,,
GECONKFOR/CIMIC,Other,,
Gedo Women Development Organization,Other,,
Gemeinnützige Entwicklungszusammenarbeit GmbH (GEZA),NGOs and CSOs,,
Gender Education Empowerment and Leadership Organization,Other,,
General Administration for Palestinian Arab Refugees,Public sector,,
General Electric,Other,,
General Mills Foundation,NGOs and CSOs,,
General Motors Foundation,NGOs and CSOs,,
General Secretariat of Awkaf,Other,,
General Service Agency,Other,,
Genesis Software,Other,,
Geneva Call,NGOs and CSOs,,
Geneva Forum,Multilateral,,
Geneva Institute for Human Rights,NGOs and CSOs,,
Geneva InterNational Centre for Humanitarian Demining,NGOs and CSOs,,
GenNX360,Other,,
GeoForschungsZentrum Potsdam,NGOs and CSOs,,
Geohazards InterNational,NGOs and CSOs,,
"GeoLogistics Services, Inc.",Other,,
Georg Dechentreiter Wohlfahrtsstiftung,NGOs and CSOs,,
Georg Fischer (Clean Water Foundation),NGOs and CSOs,,
Georgia,Public sector,,
Georgian Red Cross,Red Cross,,
Gerdau Ameristeel,Other,,
German Development Service,Other,,
German Doctors for Developing Countries,NGOs and CSOs,,
German Embassy in Bangladesh,Public sector,,
German Embassy Sofia,Public sector,,
"German medical aid organisation ""action medeor""",NGOs and CSOs,,
German Mission Herat,Other,,
German Red Cross,Red Cross,,
German Relation Office Ramallah,Public sector,,
Germany,Public sector,,
GESA -  Gesundheitshilfe Afghanistan e.V,Other,,
GFC,Other,,
Ghana,Public sector,,
Giant Food Stores,Other,,
"Gibson, Dunn & Crutcher ",Other,,
"Gift of the Givers Foundation (Pietermaritzburg, RSA)",NGOs and CSOs,,
Gifts in kind InterNational,NGOs and CSOs,,
GIGnos (consulting company),Other,,
Girls are a Treasure Network,NGOs and CSOs,,
Give World,Other,,
Give2Asia,Other,,
GKST - Presbyterian Christian Church of Central Sulawesi,Other,,
GlaxoSmithKline,Other,,
Glencree Centre for Peace and Reconciliation,NGOs and CSOs,,
GLIA Initiative Project HIV/AIDS,Multilateral,,
Global 2000 of the Carter Centre,NGOs and CSOs,,
Global Aid Network,NGOs and CSOs,,
Global Alliance for Improved Nutrition,Multilateral,,
Global Centre for the Responsibility to Protect,NGOs and CSOs,,
Global Children Foundation,NGOs and CSOs,,
Global Communities,NGOs and CSOs,,
Global Compact,Multilateral,,
Global Earthquake Model Foundation,Other,,
Global Editors Network,Other,,
Global Facility for Disaster Risk Reduction,Multilateral,,
Global Facility for Disaster Risk Reduction ,Multilateral,,
Global Fire Monitoring Centre,Multilateral,,
Global Food Crisis Fund,Other,,
Global Forum for Media Development,Other,,
Global Forum on Migration and Development,Other,,
Global Fund,Multilateral,,
Global Fund for TB/HIV/AIDS Programme,Multilateral,,
"Global Fund to Fight AIDS, Tuberculosis and Malaria",Multilateral,,
Global H20,NGOs and CSOs,,
Global Health Foundation,NGOs and CSOs,,
Global Hope Network InterNational,Other,,
Global Human Rights Defence,NGOs and CSOs,,
Global Humanitarian Forum,Other,,
Global Initiative to End All Corporal Punishment of Children,Other,,
Global Links,Other,,
Global Medic,NGOs and CSOs,,
Global Network of Civil Society Orgs,Other,,
Global One 2015,NGOs and CSOs,,
Global Partners,Other,,
Global Public Policy Institute,NGOs and CSOs,,
Global Recruitment Fund,Other,,
Global Reporting Initiative,NGOs and CSOs,,
Global Resource Services,NGOs and CSOs,,
Global Rights,NGOs and CSOs,,
Global Thematic Partners,Other,,
GlobalGiving,NGOs and CSOs,,
GlobalMedic,NGOs and CSOs,,
GMAC,Other,,
GMC Services,Other,,
Go Daddy,Other,,
GOAL,NGOs and CSOs,,
GOAL/IRC,NGOs and CSOs,,
Gobi Regional Economic Growth Initiative,NGOs and CSOs,,
Goddard Enterprises Limited,Other,,
Golden Heart Fund,Other,,
Goldman Sachs Group ,Other,,
Golweyne Relief and Rehabilitation,NGOs and CSOs,,
Gol-yome Rehabilitation and Development Organization,Other,,
Good Neighbours Inc,NGOs and CSOs,,
Goodrich Corporation,Other,,
Google,Other,,
GORTA,NGOs and CSOs,,
Govt of Bosnia & Herzegovina Mine Detection Dog Centre,Public sector,,
Govt of Ethiopia Disaster Prevention and Preparedness Commission,Public sector,,
Govt of Indonesia: Bidan Kesehatan Department of Health,Public sector,,
Govt of Indonesia: Department of Settlement and Regional Infrastructure (Kimpraswil),Public sector,,
"Goya Foods, Inc.",Other,,
Grand Circle Foundation,NGOs and CSOs,,
Grant Foundation,NGOs and CSOs,,
Grass Technologies,Other,,
Great Family Organization,Other,,
Great Lakes Initiative Project HIV/AIDS,Multilateral,,
Greece,Public sector,,
Greece Red Cross,Red Cross,,
Greek Committee For InterNational Democratic Solidarity,NGOs and CSOs,,
"Greek Embassy, Tehran",Public sector,,
"Greek Orthodox Ladies Philoptochos Society, Inc.",NGOs and CSOs,,
Greek Orthodox Patriarchate of Antioch and all of the East,Other,,
Green Cross,NGOs and CSOs,,
Green Hope,NGOs and CSOs,,
"Green Mountain Coffee Roasters, Inc.",Other,,
Greenshields Cowie,Other,,
Grenada,Public sector,,
GRET,NGOs and CSOs,,
"GRONSUND, STEIN OVE",Other,,
Groupe d’Action pour la Promotion de la Femme,Other,,
Groupe de Recherche et de Réalisations pour le Développement Rural,NGOs and CSOs,,
Groupe de Recherche et d'Echanges Technologiques,Other,,
Groupe de Secours Catastrophes Francais,NGOs and CSOs,,
Groupe La Colombe,NGOs and CSOs,,
GROUPE URD,NGOs and CSOs,,
Groupement des Artisans ruraux d’INTADENE-GARI,Other,,
Groupement Ingenieria Estrella,Other,,
GRSP - Ghazni Rural Support Program - Afghanistan,NGOs and CSOs,,
GRT,Other,,
Grünhelme,NGOs and CSOs,,
Grupo Col. - Suisse,Other,,
Grupo Pão de Açúcar,Other,,
Gruppo per le Relazioni Transculturali,NGOs and CSOs,,
Gruppo Volontariato Civile,NGOs and CSOs,,
Guatemala,Public sector,,
"Guatemala General Council in Miami, Florida",Public sector,,
Guatemalan Red Cross ,Red Cross,,
Guilde du Raid,NGOs and CSOs,,
Gulf Coast Community Foundation of Venice,NGOs and CSOs,,
Gulf Cooperation Council,Multilateral,,
Guyana,Public sector,,
Guyana Red Cross,Red Cross,,
Guyana Red Cross Society,Red Cross,,
Gynécologie sans frontières,NGOs and CSOs,,
Gyro AS,Other,,
HA + SHA / IOM,Other,,
Habitat for Humanity InterNational,NGOs and CSOs,,
Hadia Medical,NGOs and CSOs,,
Haiti,Public sector,,
Haiti Red Cross,Red Cross,,
Haitian Health Foundation,NGOs and CSOs,,
Haitian National Red Cross Society,Red Cross,,
Haitian Women of Miami,Other,,
Hakima,Other,,
Halo Partnership,NGOs and CSOs,,
HALO Trust,NGOs and CSOs,,
Halte Aux Mines Antipersonnel ,NGOs and CSOs,,
Hammer Forum e.V,NGOs and CSOs,,
HAMOKED/CNTR DEF.OF INDIVIDUAL,NGOs and CSOs,,
"Hand in Hand Appeal, Syria",NGOs and CSOs,,
Handicap Atlas Logistique,NGOs and CSOs,,
Handicap InterNational,NGOs and CSOs,,
Handicap InterNational Belgium,NGOs and CSOs,,
Handicap InterNational France,NGOs and CSOs,,
Handicap International Luxembourg,NGOs and CSOs,,
Handicap International USA,NGOs and CSOs,,
Handicap InterNational/France,NGOs and CSOs,,
Hands Off Cain,Other,,
Hands Together,NGOs and CSOs,,
Hanesbrands ,Other,,
Harikar,NGOs and CSOs,,
Harland Clarke Holdings,Other,,
Harris Teeter,Other,,
HARRODS GROUP,Other,,
Hartford Financial Services Group,Other,,
Harvard University,NGOs and CSOs,,
Hashemite Charity Organization of Jordan,NGOs and CSOs,,
Haukari e.V,NGOs and CSOs,,
Haut Comité de Secours libanais,NGOs and CSOs,,
Have It Your Way Foundation,NGOs and CSOs,,
Haven,Other,,
Hawaiian Electric Co.,Other,,
Hayat Foundation,NGOs and CSOs,,
HBN,Other,,
HCC-Humanitäre Nothilfeprogramme weltweit,NGOs and CSOs,,
HCS,Other,,
Heal Africa,Other,,
Health Alliance InterNational,NGOs and CSOs,,
Health and Environment Development Society ,Other,,
Health and Human Rights Info,Other,,
Health And Nutrition Development Society,NGOs and CSOs,,
Health Limited,Other,,
Health Link South Sudan,NGOs and CSOs,,
Health Net Inc.,Other,,
Health Partners InterNational Canada,NGOs and CSOs,,
Health Poverty Action,NGOs and CSOs,,
HEALTH UNLIMITED,NGOs and CSOs,,
"Health, Development, Information and Policy Institute",NGOs and CSOs,,
Healthnet InterNational - Malaria Leishmaniasis Control Programme,NGOs and CSOs,,
HealthNet InterNational Transcultural Psychosocial Organisation,NGOs and CSOs,,
Healthworkers Community ,Other,,
Heart Doctors,NGOs and CSOs,,
Heartland Alliance for Human Needs & Human Rights,NGOs and CSOs,,
Heartland Alliance International,NGOs and CSOs,,
Heart-to-Heart,NGOs and CSOs,,
H-E-B,Other,,
Hebrew Immigrant Aid Society,NGOs and CSOs,,
Hedwin Corporation,Other,,
Heilsarmee,Other,,
Heinrich Böll Foundation,NGOs and CSOs,,
HEKS - Hilfswerk der Evangelischen Kirchen Schweiz,NGOs and CSOs,,
Helen Keller InterNational,NGOs and CSOs,,
Helfende Hände e.V.,NGOs and CSOs,,
Hellef fir Rosario,NGOs and CSOs,,
Hellenic Red Cross,Red Cross,,
Hellenic Rescue Team,NGOs and CSOs,,
HELP,NGOs and CSOs,,
HELP e.V.,NGOs and CSOs,,
Help for school,NGOs and CSOs,,
Help In Need,Other,,
Help the Aged,NGOs and CSOs,,
HelpAge InterNational,NGOs and CSOs,,
HelpAge International UK,NGOs and CSOs,,
Helpage Programme - RD Congo,NGOs and CSOs,,
Helping Hand for Relief & Development,Other,,
Helping Hand for Relief and Development,NGOs and CSOs,,
Helping Hands,Other,,
Helse Bergen HF,NGOs and CSOs,,
HELVETAS,NGOs and CSOs,,
HEMCO,Other,,
Henry Schein Inc.,Other,,
Heritage Foundation,NGOs and CSOs,,
Heshima Kenya,NGOs and CSOs,,
Hess Corporation,Other,,
Hewlett-Packard Company Foundation,NGOs and CSOs,,
HHB,Other,,
HH-SKH,Other,,
HIAS RefugeeTrust,Other,,
Hidaya Rehabilitation Corporation for Special Need,Other,,
Hijra,Other,,
Hilfe fur Kinder in Not e.V,NGOs and CSOs,,
Hilfe zur Selbsthilfe e.V.,NGOs and CSOs,,
Hilfsgemeinschaft Lippe e.V,NGOs and CSOs,,
Hilfswerk Austria InterNational,NGOs and CSOs,,
Hilfswerk Liechtenstein,NGOs and CSOs,,
Hilina Enriched Food Processing Center PLC,Other,,
Hillman Family Foundations,NGOs and CSOs,,
Hilton Worldwide,Other,,
Himalayan Human Rights Monitors,NGOs and CSOs,,
Himilo Organization for Development,NGOs and CSOs,,
Himilo Relief and Development Association,NGOs and CSOs,,
Hiran Water Supply and Community Development Organisation,Other,,
Hiran Women Action on Advocay for peace & Human Rights,NGOs and CSOs,,
Hirondelle Radio Okapi,NGOs and CSOs,,
"Hitachi America, Ltd.",Other,,
HIVOS,NGOs and CSOs,,
HNA Group,Other,,
Hoffnungszeichen - Sign of Hope e.V,NGOs and CSOs,,
Hogar de Cristo Santiago,NGOs and CSOs,,
Høgskolen i Oslo,NGOs and CSOs,,
Hold the Child Organisation,NGOs and CSOs,,
Holistic Management,NGOs and CSOs,,
Holt InterNational Childrens Services,Other,,
Holy See,Public sector,,
Home Depot Foundation,NGOs and CSOs,,
Home for Human Rights,NGOs and CSOs,,
Honda,Other,,
Honduran Red Cross,Red Cross,,
Honduras,Public sector,,
Honduras Comité Permanente de Contingencias,NGOs and CSOs,,
Honduras Red Cross,Red Cross,,
Honeywell,Other,,
Hong Kong Red Cross,Red Cross,,
Hong Kong Special Administrative Region of the People's Republic of China,Public sector,,
HOPE,NGOs and CSOs,,
Hope for the Horn,NGOs and CSOs,,
Hope in Action,NGOs and CSOs,,
Hope International Development Agency,NGOs and CSOs,,
Hope Worldwide,NGOs and CSOs,,
HOPE'87,NGOs and CSOs,,
Hopital Albert Schweitzer,Other,,
Hôpital de la Charité d'Oulan-Bator,NGOs and CSOs,,
Hôpital Français de Hanoï,Other,,
Hôpital Saint-Joseph,Other,,
Hopital sans Frontières,NGOs and CSOs,,
Horizon Foundation for New Jersey,NGOs and CSOs,,
Horizont 3000,NGOs and CSOs,,
Horizonte Logico,NGOs and CSOs,,
Horn of Africa Organization for Protection of Environment and Improvement of Livelihoods,NGOs and CSOs,,
Horn Relief,NGOs and CSOs,,
Horn-Aid Kenya,NGOs and CSOs,,
Horsed Relief and Development Organization,Other,,
Hospital Corporation of America,Other,,
Hospital Hermanos Ameijeiras,NGOs and CSOs,,
Housing and Property Directorate,Other,,
Howard Buffet Foundation,NGOs and CSOs,,
Høyskolen i Buskerud,NGOs and CSOs,,
Høyskolen i Oslo,NGOs and CSOs,,
HRG Hogg Robinson Nordic AS,Other,,
Hrúz,Other,,
HSBC,Other,,
HSBC Bank Middle East Limited,Other,,
Huairou Commission,Other,,
Hudec Sedec,Other,,
Hudson's Bay Company,Other,,
Human Appeal InterNational,NGOs and CSOs,,
Human Care InterNational,NGOs and CSOs,,
Human Concern InterNational,NGOs and CSOs,,
Human Development Foundation,NGOs and CSOs,,
Human Help Network e.V.,NGOs and CSOs,,
Human Moral Care,NGOs and CSOs,,
Human Resources Development Agency,NGOs and CSOs,,
Human Right Center in Iraq,NGOs and CSOs,,
Human Rights and Humanitarian Assistance Foundation,NGOs and CSOs,,
Human Rights Division of the United Nations Mission in Angola,Multilateral,,
Human Rights Foundation,NGOs and CSOs,,
Human Rights House Foundation ,NGOs and CSOs,,
Human Rights Watch,NGOs and CSOs,,
Humana Foundation,NGOs and CSOs,,
Humane Society of the United States,NGOs and CSOs,,
Humanitäre Hilfe für,NGOs and CSOs,,
Humanitarian Accountability Partnership InterNational,NGOs and CSOs,,
Humanitarian Action for Relief and Development Organisation,NGOs and CSOs,,
Humanitarian Action for the People Afghanistan,Other,,
Humanitarian Africa Relief Development Organization,Other,,
Humanitarian Aid and Development Organization,Other,,
Humanitarian Aid Commission,Public sector,,
Humanitarian Aid Relief Trust,NGOs and CSOs,,
Humanitarian Cargo Carriers,Other,,
Humanitarian Forum,Other,,
Humanitarian Forum Indonesia,Other,,
Humanitarian Initiative Just Relief Aid Organizaiton,NGOs and CSOs,,
Humanitarian Initiative Just Relief Aid Organization,Other,,
Humanitarian Outcomes,NGOs and CSOs,,
Humanitarian Policy and Conflict Research,NGOs and CSOs,,
Humanitarian Policy Group,NGOs and CSOs,,
Humanitarian Relief Foundation,NGOs and CSOs,,
HumaniTerra InterNational,NGOs and CSOs,,
HumaniTerra International ,NGOs and CSOs,,
Humanity Brotherhood Association  for Human Rights,NGOs and CSOs,,
Humanity First,Other,,
Humanity First USA,NGOs and CSOs,,
Humedia InterNational,NGOs and CSOs,,
Humedica,NGOs and CSOs,,
Hungarian Baptist  Aid Organisation,NGOs and CSOs,,
Hungarian Interchurch Aid,NGOs and CSOs,,
Hungarian Malteser Charity Service,NGOs and CSOs,,
Hungarian Red Cross,Red Cross,,
Hungary,Public sector,,
Hungary Red Cross,Red Cross,,
Hunger Alert,NGOs and CSOs,,
Hydration Technology Innovations,Other,,
"Hyogo Prefecture, Japan",Public sector,,
Hyundai Motor Company,Other,,
Hy-Vee Inc.,Other,,
IAM - InterNational Assistance Mission ,NGOs and CSOs,,
Ibdesch Patenschaften,Other,,
"Ibero-American States Organization for Education, Science & Culture",NGOs and CSOs,,
IBIS,NGOs and CSOs,,
IBM,Other,,
IBN SINA,Other,,
Ibon Foundation,NGOs and CSOs,,
ICASE,Other,,
ICCO - Interchurch organisation for development co-operation,NGOs and CSOs,,
ICDO - InterNational Civil Defence Organisation ,Multilateral,,
ICDP - InterNational Child Development Programme,NGOs and CSOs,,
Iceland,Public sector,,
Iceland Red Cross,Red Cross,,
Icelandic Church Aid,NGOs and CSOs,,
Icelandic Crisis Response Unit,Public sector,,
Icelandic Red Cross,Red Cross,,
ICI Pakistan,Other,,
ICIMOD,NGOs and CSOs,,
ICMA - InterNational City/County Management Association,Other,,
ICMPD/IOM,Other,,
ICU,NGOs and CSOs,,
IDDEALES,Other,,
IDE Myanmar,NGOs and CSOs,,
IDRC,NGOs and CSOs,,
IFRC Disaster Relief Emergency Fund,Red Cross,,
IFTIIN Education and Development Association,NGOs and CSOs,,
IGAD Partnership Forum,Other,,
Igarapé,Public sector,,
IHI - InterNational Humanitarian Initiative,Other,,
IHS,Other,,
IICD - InterNational Institute for Communication and Development,NGOs and CSOs,,
IIDA Women's Development Organization,Other,,
Iimaan Relief and Development Organization,NGOs and CSOs,,
IKEA Foundation,NGOs and CSOs,,
I-LIFE,Other,,
ILP-InterNational Law and Policy Group,NGOs and CSOs,,
ILR,Public sector,,
IMA,Other,,
Impact Forum Norway,NGOs and CSOs,,
Imperial College,NGOs and CSOs,,
Inasmuch Foundation,NGOs and CSOs,,
INDE - Intercooperaçao e Desenvolvimento (Portuguese NGO),NGOs and CSOs,,
Independent Commission for Human Rights,Other,,
Indesch Patenschaften,NGOs and CSOs,,
India,Public sector,,
India Red Cross,Red Cross,,
Indian Red Cross Society,Red Cross,,
Indivduell Mànniskohjàlp - Swedish NGO,NGOs and CSOs,,
Indonesia,Public sector,,
Indonesia Red Crescent,Red Cross,,
Indonesian Farmers Funds,Multilateral,,
Indonesian Humanitarian Committee,Other,,
Indonesian Red Crescent Society,Red Cross,,
INDONESIA-PALESTINE FRIENDSHIP INITIATIVE,Other,,
Indus Resource Centre,Other,,
Industri Energi (fagforbundet),Other,,
INETER,NGOs and CSOs,,
Infineon Technologies,Other,,
InfoAsAid,Other,,
INFONOR,Other,,
Information Management and Mine Action Programs,NGOs and CSOs,,
"Information Technology Outreach Services, U of Georgia",NGOs and CSOs,,
ING Group Disaster Relief Fund,Other,,
Inglesia Morava,Other,,
Initiativ for Etisk Handel,Other,,
Initiative Congolaise pour la Gestion autonome des populations,NGOs and CSOs,,
Initiative Development,Other,,
Initiative Developpement,Other,,
Initiative Développement,Other,,
Initiative Dritte Welt Braunau,NGOs and CSOs,,
Initiative for Change,NGOs and CSOs,,
Initiative for Development and Empowerment Axis,Other,,
INMED Partnership for Children,NGOs and CSOs,,
Innovasjon Norge,Other,,
Innovative Development Organization,NGOs and CSOs,,
Inprosula,Other,,
Insan Association,NGOs and CSOs,,
INST. UNIV. DE HAUTES ETUDES INT.,NGOs and CSOs,,
Institut Menzingen,Other,,
Institute for Human Rights and Business,NGOs and CSOs,,
Institute for InterNational Co-operation and Development,NGOs and CSOs,,
Institute for InterNational Social Affairs,NGOs and CSOs,,
Institute for War and Peace Reporting,NGOs and CSOs,,
Institute of Cultural Affairs Japan,NGOs and CSOs,,
Institute of Development Studies,NGOs and CSOs,,
"Institute of Human Rights Communication, Nepal ",NGOs and CSOs,,
Institute of Water and Environment,Other,,
Instituto Cabo Verdiano de Accao Social Escolar,NGOs and CSOs,,
Instituto Colombiano de Bienestar Familial,Public sector,,
Instituto de Directores de Mocambique,Other,,
