Recipient Organization,recipientcodename,
Global Facility for Disaster Risk Reduction ,Other multi,
Global Fire Monitoring Centre,UN Multi,
Global Food Crisis Fund,other,
Global Forum for Media Development,private individual organisations,
Global Forum on Migration and Development,private individual organisations,
Global Fund,Other pooled,
Global Fund for TB/HIV/AIDS Programme,Other pooled,
"Global Fund to Fight AIDS, Tuberculosis and Malaria",Other pooled,
Global H20,NGOs,
Global Health Foundation,foundations,
Global Hope Network InterNational,private individual organisations,
Global Human Rights Defence,NGOs,
Global Humanitarian Forum,private individual organisations,
Global Initiative to End All Corporal Punishment of Children,other,
Global Links,other,
Global Medic,foundations,
Global Network of Civil Society Orgs,private individual organisations,
Global One 2015,NGOs,
Global Partners,other,
Global Public Policy Institute,academia/think/research,
Global Recruitment Fund,other,
Global Reporting Initiative,academia/think/research,
Global Resource Services,NGOs,
Global Rights,NGOs,
Global Thematic Partners,private individual organisations,
GlobalGiving,NGOs,
GlobalMedic,NGOs,
GMAC,other,
GMC Services,private sector corporations,
Go Daddy,private sector corporations,
GOAL,NGOs,
GOAL/IRC,NGOs,
Gobi Regional Economic Growth Initiative,NGOs,
Goddard Enterprises Limited,private sector corporations,
Golden Heart Fund,other,
Goldman Sachs Group ,private sector corporations,
Golweyne Relief and Rehabilitation,NGOs,
Gol-yome Rehabilitation and Development Organization,other,
Good Neighbours Inc,NGOs,
Goodrich Corporation,private sector corporations,
Google,private sector corporations,
GORTA,NGOs,
Govt of Bosnia & Herzegovina Mine Detection Dog Centre,National government,
Govt of Ethiopia Disaster Prevention and Preparedness Commission,National government,
Govt of Indonesia: Bidan Kesehatan Department of Health,National government,
Govt of Indonesia: Department of Settlement and Regional Infrastructure (Kimpraswil),National government,
"Goya Foods, Inc.",private sector corporations,
Grand Circle Foundation,foundations,
Grant Foundation,foundations,
Grass Technologies,private sector corporations,
Great Family Organization,private individual organisations,
Great Lakes Initiative Project HIV/AIDS,Other multi,
Greece,DAC governments,
Greece Red Cross,red cross,
Greek Committee For InterNational Democratic Solidarity,NGOs,
"Greek Embassy, Tehran",DAC governments,
"Greek Orthodox Ladies Philoptochos Society, Inc.",NGOs,
Greek Orthodox Patriarchate of Antioch and all of the East,other,
Green Cross,NGOs,
Green Hope,NGOs,
"Green Mountain Coffee Roasters, Inc.",private sector corporations,
Greenshields Cowie,private sector corporations,
Grenada,National government,
GRET,NGOs,
"GRONSUND, STEIN OVE",private individual organisations,
Groupe d’Action pour la Promotion de la Femme,other,
Groupe de Recherche et de Réalisations pour le Développement Rural,NGOs,
Groupe de Recherche et d'Echanges Technologiques,private individual organisations,
Groupe de Secours Catastrophes Francais,NGOs,
Groupe La Colombe,NGOs,
GROUPE URD,academia/think/research,
Groupement des Artisans ruraux d’INTADENE-GARI,other,
Groupement Ingenieria Estrella,other,
GRSP - Ghazni Rural Support Program - Afghanistan,NGOs,
GRT,other,
Grünhelme,NGOs,
Grupo Col. - Suisse,other,
Grupo Pão de Açúcar,private sector corporations,
Gruppo per le Relazioni Transculturali,NGOs,
Gruppo Volontariato Civile,NGOs,
Guatemala,National government,
"Guatemala General Council in Miami, Florida",National government,
Guatemalan Red Cross ,red cross,
Guilde du Raid,NGOs,
Gulf Coast Community Foundation of Venice,foundations,
Gulf Cooperation Council,Other multi,
Guyana,National government,
Guyana Red Cross,red cross,
Guyana Red Cross Society,red cross,
Gynécologie sans frontières,NGOs,
Gyro AS,private sector corporations,
HA + SHA / IOM,other,
Habitat for Humanity InterNational,NGOs,
Hadia Medical,NGOs,
Haiti,National government,
Haiti Red Cross,red cross,
Haitian Health Foundation,NGOs,
Haitian National Red Cross Society,red cross,
Haitian Women of Miami,private sector corporations,
Hakima,other,
Halo Partnership,NGOs,
HALO Trust,NGOs,
Halte Aux Mines Antipersonnel ,NGOs,
Hammer Forum e.V,NGOs,
HAMOKED/CNTR DEF.OF INDIVIDUAL,NGOs,
"Hand in Hand Appeal, Syria",NGOs,
Handicap Atlas Logistique,NGOs,
Handicap InterNational,NGOs,
Handicap InterNational Belgium,NGOs,
Handicap InterNational France,NGOs,
Handicap International Luxembourg,NGOs,
Handicap International USA,NGOs,
Handicap InterNational/France,NGOs,
Hands Off Cain,other,
Hands Together,NGOs,
Hanesbrands ,private sector corporations,
Harikar,NGOs,
Harland Clarke Holdings,private sector corporations,
Harris Teeter,private sector corporations,
HARRODS GROUP,private sector corporations,
Hartford Financial Services Group,private sector corporations,
Harvard University,academia/think/research,
Hashemite Charity Organization of Jordan,NGOs,
Haukari e.V,NGOs,
Haut Comité de Secours libanais,NGOs,
Have It Your Way Foundation,foundations,
Haven,private sector corporations,
Hawaiian Electric Co.,private sector corporations,
Hayat Foundation,NGOs,
HBN,private sector corporations,
HCC-Humanitäre Nothilfeprogramme weltweit,NGOs,
HCS,other,
Heal Africa,private individual organisations,
Health Alliance InterNational,NGOs,
Health and Environment Development Society ,other,
Health and Human Rights Info,private individual organisations,
Health And Nutrition Development Society,NGOs,
Health Limited,private sector corporations,
Health Link South Sudan,NGOs,
Health Net Inc.,private sector corporations,
Health Partners InterNational Canada,NGOs,
Health Poverty Action,NGOs,
HEALTH UNLIMITED,NGOs,
"Health, Development, Information and Policy Institute",NGOs,
Healthnet InterNational - Malaria Leishmaniasis Control Programme,NGOs,
HealthNet InterNational Transcultural Psychosocial Organisation,NGOs,
Healthworkers Community ,private individual organisations,
Heart Doctors,NGOs,
Heartland Alliance for Human Needs & Human Rights,NGOs,
Heartland Alliance International,NGOs,
Heart-to-Heart,NGOs,
H-E-B,private sector corporations,
Hebrew Immigrant Aid Society,NGOs,
Hedwin Corporation,private sector corporations,
Heilsarmee,private individual organisations,
Heinrich Böll Foundation,foundations,
HEKS - Hilfswerk der Evangelischen Kirchen Schweiz,NGOs,
Helen Keller InterNational,NGOs,
Helfende Hände e.V.,NGOs,
Hellef fir Rosario,NGOs,
Hellenic Red Cross,red cross,
Hellenic Rescue Team,NGOs,
HELP,NGOs,
HELP e.V.,NGOs,
Help for school,NGOs,
Help In Need,other,
Help the Aged,NGOs,
HelpAge InterNational,NGOs,
HelpAge International UK,NGOs,
Helpage Programme - RD Congo,NGOs,
Helping Hand for Relief & Development,other,
Helping Hand for Relief and Development,NGOs,
Helping Hands,private sector corporations,
Helse Bergen HF,academia/think/research,
HELVETAS,NGOs,
HEMCO,private sector corporations,
Henry Schein Inc.,private sector corporations,
Heritage Foundation,academia/think/research,
Heshima Kenya,NGOs,
Hess Corporation,private sector corporations,
Hewlett-Packard Company Foundation,foundations,
HHB,other,
HH-SKH,other,
HIAS RefugeeTrust,other,
Hidaya Rehabilitation Corporation for Special Need,other,
Hijra,private individual organisations,
Hilfe fur Kinder in Not e.V,NGOs,
Hilfe zur Selbsthilfe e.V.,NGOs,
Hilfsgemeinschaft Lippe e.V,NGOs,
Hilfswerk Austria InterNational,NGOs,
Hilfswerk Liechtenstein,NGOs,
Hilina Enriched Food Processing Center PLC,private sector corporations,
Hillman Family Foundations,foundations,
Hilton Worldwide,private sector corporations,
Himalayan Human Rights Monitors,NGOs,
Himilo Organization for Development,NGOs,
Himilo Relief and Development Association,NGOs,
Hiran Water Supply and Community Development Organisation,private individual organisations,
Hiran Women Action on Advocay for peace & Human Rights,NGOs,
Hirondelle Radio Okapi,foundations,
"Hitachi America, Ltd.",private sector corporations,
HIVOS,NGOs,
HNA Group,private sector corporations,
Hoffnungszeichen - Sign of Hope e.V,NGOs,
Hogar de Cristo Santiago,NGOs,
Høgskolen i Oslo,academia/think/research,
Hold the Child Organisation,NGOs,
Holistic Management,NGOs,
Holt InterNational Childrens Services,other,
Holy See,National government,
Home Depot Foundation,foundations,
Home for Human Rights,NGOs,
Honda,private sector corporations,
Honduran Red Cross,red cross,
Honduras,National government,
Honduras Comité Permanente de Contingencias,NGOs,
Honduras Red Cross,red cross,
Honeywell,private sector corporations,
Hong Kong Red Cross,red cross,
Hong Kong Special Administrative Region of the People's Republic of China,National government,
HOPE,NGOs,
Hope for the Horn,NGOs,
Hope in Action,NGOs,
Hope International Development Agency,NGOs,
Hope Worldwide,NGOs,
HOPE'87,NGOs,
Hopital Albert Schweitzer,other,
Hôpital de la Charité d'Oulan-Bator,NGOs,
Hôpital Français de Hanoï,private individual organisations,
Hôpital Saint-Joseph,private individual organisations,
Hopital sans Frontières,NGOs,
Horizon Foundation for New Jersey,foundations,
Horizont 3000,NGOs,
Horizonte Logico,NGOs,
Horn of Africa Organization for Protection of Environment and Improvement of Livelihoods,NGOs,
Horn Relief,NGOs,
Horn-Aid Kenya,NGOs,
Horsed Relief and Development Organization,private individual organisations,
Hospital Corporation of America,private sector corporations,
Hospital Hermanos Ameijeiras,NGOs,
Housing and Property Directorate,other,
Howard Buffet Foundation,foundations,
Høyskolen i Buskerud,academia/think/research,
Høyskolen i Oslo,academia/think/research,
HRG Hogg Robinson Nordic AS,private sector corporations,
Hrúz,private sector corporations,
HSBC,private sector corporations,
HSBC Bank Middle East Limited,private sector corporations,
Huairou Commission,other,
Hudec Sedec,private individual organisations,
Hudson's Bay Company,private sector corporations,
Human Appeal InterNational,NGOs,
Human Care InterNational,NGOs,
Human Concern InterNational,NGOs,
Human Development Foundation,foundations,
Human Help Network e.V.,NGOs,
Human Moral Care,NGOs,
Human Resources Development Agency,NGOs,
Human Right Center in Iraq,NGOs,
Human Rights and Humanitarian Assistance Foundation,foundations,
Human Rights Division of the United Nations Mission in Angola,UN Multi,
Human Rights Foundation,NGOs,
Human Rights House Foundation ,foundations,
Human Rights Watch,NGOs,
Humana Foundation,foundations,
Humane Society of the United States,academia/think/research,
Humanitäre Hilfe für,NGOs,
Humanitarian Accountability Partnership InterNational,NGOs,
Humanitarian Action for Relief and Development Organisation,NGOs,
Humanitarian Action for the People Afghanistan,other,
Humanitarian Africa Relief Development Organization,private individual organisations,
Humanitarian Aid and Development Organization,other,
Humanitarian Aid Commission,National government,
Humanitarian Aid Relief Trust,NGOs,
Humanitarian Cargo Carriers,other,
Humanitarian Forum,private individual organisations,
Humanitarian Forum Indonesia,other,
Humanitarian Initiative Just Relief Aid Organizaiton,NGOs,
Humanitarian Initiative Just Relief Aid Organization,other,
Humanitarian Outcomes,academia/think/research,
Humanitarian Policy and Conflict Research,academia/think/research,
Humanitarian Policy Group,academia/think/research,
Humanitarian Relief Foundation,NGOs,
HumaniTerra InterNational,NGOs,
Humanity Brotherhood Association  for Human Rights,NGOs,
Humanity First,other,
Humanity First USA,NGOs,
Humedia InterNational,NGOs,
Humedica,NGOs,
Hungarian Baptist  Aid Organisation,NGOs,
Hungarian Interchurch Aid,NGOs,
Hungarian Malteser Charity Service,NGOs,
Hungarian Red Cross,red cross,
Hungary,National government,
Hungary Red Cross,red cross,
Hunger Alert,NGOs,
Hydration Technology Innovations,private sector corporations,
"Hyogo Prefecture, Japan",DAC governments,
Hyundai Motor Company,private sector corporations,
Hy-Vee Inc.,private sector corporations,
IAM - InterNational Assistance Mission ,NGOs,
Ibdesch Patenschaften,other,
"Ibero-American States Organization for Education, Science & Culture",NGOs,
IBIS,NGOs,
IBM,private sector corporations,
IBN SINA,private sector corporations,
Ibon Foundation,foundations,
ICASE,private individual organisations,
ICCO - Interchurch organisation for development co-operation,NGOs,
ICDO - InterNational Civil Defence Organisation ,Other multi,
ICDP - InterNational Child Development Programme,NGOs,
Iceland,DAC governments,
Iceland Red Cross,red cross,
Icelandic Church Aid,foundations,
Icelandic Crisis Response Unit,DAC governments,
Icelandic Red Cross,red cross,
ICI Pakistan,private sector corporations,
ICIMOD,academia/think/research,
ICMA - InterNational City/County Management Association,other,
ICMPD/IOM,other,
ICU,NGOs,
IDDEALES,private individual organisations,
IDE Myanmar,NGOs,
IDRC,academia/think/research,
IFRC Disaster Relief Emergency Fund,red cross,
IFTIIN Education and Development Association,NGOs,
IGAD Partnership Forum,other,
Igarapé,National government,
IHI - InterNational Humanitarian Initiative,other,
IHS,other,
IICD - InterNational Institute for Communication and Development,foundations,
IIDA Women's Development Organization,other,
Iimaan Relief and Development Organization,NGOs,
IKEA Foundation,foundations,
I-LIFE,other,
ILP-InterNational Law and Policy Group,academia/think/research,
