Donor,privatemoney,code,check,private?
Global Alliance for Improved Nutrition,no,#N/A,,
Global Centre for the Responsibility to Protect,no,#N/A,,
Global Children Foundation,private,#N/A,,
Global Communities,no,#N/A,,
Global Compact,no,#N/A,,
Global Earthquake Model Foundation,private,Global Earthquake Model Foundation,other,no
Global Editors Network,private,#N/A,,
Global Facility for Disaster Risk Reduction,no,#N/A,,
Global Facility for Disaster Risk Reduction ,no,#N/A,,
Global Fire Monitoring Centre,no,#N/A,,
Global Food Crisis Fund,no,#N/A,,
Global Forum for Media Development,private,#N/A,,
Global Forum on Migration and Development,private,#N/A,,
Global Fund,no,#N/A,,
Global Fund for TB/HIV/AIDS Programme,no,#N/A,,
"Global Fund to Fight AIDS, Tuberculosis and Malaria",no,#N/A,,
Global H20,no,#N/A,,
Global Health Foundation,private,#N/A,,
Global Hope Network InterNational,private,#N/A,,
Global Human Rights Defence,no,#N/A,,
Global Humanitarian Forum,private,#N/A,,
Global Initiative to End All Corporal Punishment of Children,no,#N/A,,
Global Links,no,#N/A,,
Global Medic,private,#N/A,,
Global Network of Civil Society Orgs,private,#N/A,,
Global One 2015,no,#N/A,,
Global Partners,no,#N/A,,
Global Public Policy Institute,no,#N/A,,
Global Recruitment Fund,no,#N/A,,
Global Reporting Initiative,no,#N/A,,
Global Resource Services,no,#N/A,,
Global Rights,no,#N/A,,
Global Thematic Partners,private,#N/A,,
GlobalGiving,no,#N/A,,
GlobalMedic,no,#N/A,,
GMAC,no,#N/A,,
GMC Services,private,#N/A,,
Go Daddy,private,#N/A,,
GOAL,no,#N/A,,
GOAL/IRC,no,#N/A,,
Gobi Regional Economic Growth Initiative,no,#N/A,,
Goddard Enterprises Limited,private,#N/A,,
Golden Heart Fund,no,#N/A,,
Goldman Sachs Group ,private,#N/A,,
Golweyne Relief and Rehabilitation,no,#N/A,,
Gol-yome Rehabilitation and Development Organization,no,#N/A,,
Good Neighbours Inc,no,#N/A,,
Goodrich Corporation,private,#N/A,,
Google,private,#N/A,,
GORTA,no,#N/A,,
Govt of Bosnia & Herzegovina Mine Detection Dog Centre,no,#N/A,,
Govt of Ethiopia Disaster Prevention and Preparedness Commission,no,#N/A,,
Govt of Indonesia: Bidan Kesehatan Department of Health,no,#N/A,,
Govt of Indonesia: Department of Settlement and Regional Infrastructure (Kimpraswil),no,#N/A,,
"Goya Foods, Inc.",private,#N/A,,
Grand Circle Foundation,private,#N/A,,
Grant Foundation,private,#N/A,,
Grass Technologies,private,#N/A,,
Great Family Organization,private,#N/A,,
Great Lakes Initiative Project HIV/AIDS,no,#N/A,,
Greece,no,#N/A,,
Greece Red Cross,no,#N/A,,
Greek Committee For InterNational Democratic Solidarity,no,#N/A,,
"Greek Embassy, Tehran",no,#N/A,,
"Greek Orthodox Ladies Philoptochos Society, Inc.",no,#N/A,,
Greek Orthodox Patriarchate of Antioch and all of the East,no,#N/A,,
Green Cross,no,#N/A,,
Green Hope,no,#N/A,,
"Green Mountain Coffee Roasters, Inc.",private,#N/A,,
Greenshields Cowie,private,#N/A,,
Grenada,no,#N/A,,
GRET,no,#N/A,,
"GRONSUND, STEIN OVE",private,#N/A,,
Groupe d’Action pour la Promotion de la Femme,no,#N/A,,
Groupe de Recherche et de Réalisations pour le Développement Rural,no,#N/A,,
Groupe de Recherche et d'Echanges Technologiques,private,#N/A,,
GROUPE DE RECHERCHE ET D'ECHANGES TECHNOLOGIQUES,private,#N/A,,
Groupe de Secours Catastrophes Francais,no,#N/A,,
Groupe La Colombe,private,Groupe La Colombe,NGOs,no
GROUPE URD,no,#N/A,,
Groupement des Artisans ruraux d’INTADENE-GARI,no,#N/A,,
Groupement Ingenieria Estrella,no,#N/A,,
GRSP - Ghazni Rural Support Program - Afghanistan,no,#N/A,,
GRT,no,#N/A,,
Grünhelme,no,#N/A,,
Grupo Col. - Suisse,no,#N/A,,
Grupo Pão de Açúcar,private,#N/A,,
Gruppo per le Relazioni Transculturali,no,#N/A,,
Gruppo Volontariato Civile,no,#N/A,,
Guatemala,no,#N/A,,
"Guatemala General Council in Miami, Florida",no,#N/A,,
Guatemalan Red Cross ,no,#N/A,,
Guilde du Raid,no,#N/A,,
Gulf Coast Community Foundation of Venice,private,#N/A,,
Gulf Cooperation Council,no,#N/A,,
Guyana,no,#N/A,,
Guyana Red Cross,no,#N/A,,
Guyana Red Cross Society,no,#N/A,,
Gynécologie sans frontières,no,#N/A,,
Gyro AS,private,#N/A,,
HA + SHA / IOM,no,#N/A,,
Habitat for Humanity InterNational,no,#N/A,,
Hadia Medical,no,#N/A,,
Haiti,no,#N/A,,
Haiti Red Cross,no,#N/A,,
Haitian Health Foundation,private,Haitian Health Foundation,NGOs,no
Haitian National Red Cross Society,no,#N/A,,
Haitian Women of Miami,private,#N/A,,
Hakima,no,#N/A,,
Halo Partnership,no,#N/A,,
HALO Trust,no,#N/A,,
Halte Aux Mines Antipersonnel ,no,#N/A,,
Hammer Forum e.V,no,#N/A,,
HAMOKED/CNTR DEF.OF INDIVIDUAL,no,#N/A,,
"Hand in Hand Appeal, Syria",no,#N/A,,
Handicap Atlas Logistique,no,#N/A,,
Handicap InterNational,no,#N/A,,
Handicap InterNational Belgium,no,#N/A,,
Handicap InterNational France,no,#N/A,,
Handicap International Luxembourg,no,#N/A,,
Handicap International USA,no,#N/A,,
Handicap InterNational/France,no,#N/A,,
Hands Off Cain,no,#N/A,,
Hands Together,no,#N/A,,
Hanesbrands ,private,#N/A,,
Harikar,no,#N/A,,
Harland Clarke Holdings,private,#N/A,,
Harris Teeter,private,#N/A,,
HARRODS GROUP,private,#N/A,,
Hartford Financial Services Group,private,#N/A,,
Hartford Financial Services Group,private,#N/A,,
Harvard University,no,#N/A,,
Hashemite Charity Organization of Jordan,no,#N/A,,
Haukari e.V,no,#N/A,,
Haut Comité de Secours libanais,no,#N/A,,
Have It Your Way Foundation,private,#N/A,,
Haven,private,#N/A,,
Hawaiian Electric Co.,private,#N/A,,
Hayat Foundation,no,#N/A,,
HBN,private,#N/A,,
HCC-Humanitäre Nothilfeprogramme weltweit,no,#N/A,,
HCS,no,#N/A,,
Heal Africa,private,#N/A,,
Health Alliance InterNational,no,#N/A,,
Health and Environment Development Society ,no,#N/A,,
Health and Human Rights Info,private,#N/A,,
Health And Nutrition Development Society,no,#N/A,,
Health Limited,private,#N/A,,
Health Link South Sudan,no,#N/A,,
Health Net Inc.,private,#N/A,,
Health Partners InterNational Canada,no,#N/A,,
Health Poverty Action,no,#N/A,,
HEALTH UNLIMITED,no,#N/A,,
"Health, Development, Information and Policy Institute",no,#N/A,,
Healthnet InterNational - Malaria Leishmaniasis Control Programme,no,#N/A,,
HealthNet InterNational Transcultural Psychosocial Organisation,no,#N/A,,
Healthworkers Community ,private,#N/A,,
Heart Doctors,no,#N/A,,
Heartland Alliance for Human Needs & Human Rights,no,#N/A,,
Heartland Alliance International,no,Heartland Alliance International,NGOs,
Heart-to-Heart,no,#N/A,,
H-E-B,private,#N/A,,
Hebrew Immigrant Aid Society,no,Hebrew Immigrant Aid Society,NGOs,
Hedwin Corporation,private,#N/A,,
Heilsarmee,private,#N/A,,
Heinrich Böll Foundation,private,#N/A,,
HEKS - Hilfswerk der Evangelischen Kirchen Schweiz,no,#N/A,,
Helen Keller InterNational,no,#N/A,,
Helfende Hände e.V.,no,#N/A,,
Hellef fir Rosario,no,#N/A,,
Hellenic Red Cross,no,#N/A,,
Hellenic Rescue Team,no,#N/A,,
HELP,no,#N/A,,
HELP e.V.,no,#N/A,,
Help for school,no,#N/A,,
Help In Need,no,#N/A,,
Help the Aged,no,#N/A,,
HelpAge InterNational,no,#N/A,,
HelpAge International UK,no,#N/A,,
Helpage Programme - RD Congo,no,#N/A,,
Helping Hand for Relief & Development,no,#N/A,,
Helping Hand for Relief and Development,no,#N/A,,
Helping Hands,private,#N/A,,
Helse Bergen HF,no,#N/A,,
HELVETAS,no,#N/A,,
HEMCO,private,#N/A,,
Henry Schein Inc.,private,#N/A,,
Heritage Foundation,no,#N/A,,
Heshima Kenya,no,#N/A,,
Hess Corporation,private,#N/A,,
Hewlett-Packard Company Foundation,private,#N/A,,
HHB,no,#N/A,,
HH-SKH,no,#N/A,,
HIAS RefugeeTrust,no,#N/A,,
Hidaya Rehabilitation Corporation for Special Need,no,#N/A,,
Hijra,private,#N/A,,
Hilfe fur Kinder in Not e.V,no,#N/A,,
Hilfe zur Selbsthilfe e.V.,no,#N/A,,
Hilfsgemeinschaft Lippe e.V,no,#N/A,,
Hilfswerk Austria InterNational,no,#N/A,,
Hilfswerk Liechtenstein,no,#N/A,,
Hilina Enriched Food Processing Center PLC,private,#N/A,,
Hillman Family Foundations,private,#N/A,,
Hilton Worldwide,private,#N/A,,
Himalayan Human Rights Monitors,no,#N/A,,
Himilo Organization for Development,no,#N/A,,
Himilo Relief and Development Association,no,#N/A,,
Hiran Water Supply and Community Development Organisation,private,#N/A,,
Hiran Women Action on Advocay for peace & Human Rights,no,#N/A,,
Hirondelle Radio Okapi,private,#N/A,,
"Hitachi America, Ltd.",private,#N/A,,
HIVOS,no,#N/A,,
HNA Group,private,#N/A,,
Hoffnungszeichen - Sign of Hope e.V,no,#N/A,,
Hogar de Cristo Santiago,no,#N/A,,
Høgskolen i Oslo,no,#N/A,,
Hold the Child Organisation,no,Hold the Child Organisation,NGOs,
Holistic Management,no,#N/A,,
Holt InterNational Childrens Services,no,#N/A,,
Holy See,no,#N/A,,
Home Depot Foundation,private,#N/A,,
Home for Human Rights,no,#N/A,,
Honda,private,#N/A,,
Honduran Red Cross,no,#N/A,,
Honduras,no,#N/A,,
Honduras Comité Permanente de Contingencias,no,#N/A,,
Honduras Red Cross,no,#N/A,,
Honeywell,private,#N/A,,
Hong Kong Red Cross,no,#N/A,,
Hong Kong Special Administrative Region of the People's Republic of China,no,#N/A,,
HOPE,no,#N/A,,
Hope for the Horn,no,#N/A,,
Hope in Action,no,#N/A,,
Hope International Development Agency,no,#N/A,,
Hope Worldwide,no,#N/A,,
HOPE'87,no,#N/A,,
Hopital Albert Schweitzer,no,#N/A,,
Hôpital de la Charité d'Oulan-Bator,no,#N/A,,
Hôpital Français de Hanoï,private,#N/A,,
Hôpital Saint-Joseph,private,#N/A,,
Hopital sans Frontières,no,#N/A,,
Horizon Foundation for New Jersey,private,#N/A,,
Horizont 3000,no,#N/A,,
Horizonte Logico,no,#N/A,,
Horn of Africa Organization for Protection of Environment and Improvement of Livelihoods,no,#N/A,,
Horn Relief,no,#N/A,,
Horn-Aid Kenya,no,#N/A,,
Horsed Relief and Development Organization,private,#N/A,,
Hospital Corporation of America,private,#N/A,,
Hospital Hermanos Ameijeiras,no,#N/A,,
Housing and Property Directorate,no,#N/A,,
Howard Buffet Foundation,private,#N/A,,
Høyskolen i Buskerud,no,#N/A,,
Høyskolen i Oslo,no,#N/A,,
HRG Hogg Robinson Nordic AS,private,#N/A,,
Hrúz,private,#N/A,,
HSBC,private,#N/A,,
HSBC Bank Middle East Limited,private,#N/A,,
Huairou Commission,no,#N/A,,
Hudec Sedec,private,#N/A,,
Hudson's Bay Company,private,#N/A,,
Human Appeal InterNational,no,#N/A,,
Human Care InterNational,no,#N/A,,
Human Concern InterNational,no,#N/A,,
Human Development Foundation,private,#N/A,,
Human Help Network e.V.,no,#N/A,,
Human Moral Care,no,#N/A,,
Human Resources Development Agency,no,#N/A,,
Human Right Center in Iraq,no,#N/A,,
Human Rights and Humanitarian Assistance Foundation,private,#N/A,,
Human Rights Division of the United Nations Mission in Angola,no,#N/A,,
Human Rights Foundation,no,#N/A,,
Human Rights House Foundation ,private,#N/A,,
Human Rights Watch,no,#N/A,,
Humana Foundation,private,#N/A,,
Humane Society of the United States,no,#N/A,,
Humanitäre Hilfe für,no,#N/A,,
Humanitarian Accountability Partnership InterNational,no,#N/A,,
Humanitarian Action for Relief and Development Organisation,no,#N/A,,
Humanitarian Action for the People Afghanistan,no,#N/A,,
Humanitarian Africa Relief Development Organization,private,#N/A,,
Humanitarian Aid and Development Organization,no,#N/A,,
Humanitarian Aid Commission,no,#N/A,,
Humanitarian Aid Relief Trust,no,#N/A,,
Humanitarian Cargo Carriers,no,#N/A,,
Humanitarian Forum,private,#N/A,,
Humanitarian Forum Indonesia,no,#N/A,,
Humanitarian Initiative Just Relief Aid Organizaiton,no,Humanitarian Initiative Just Relief Aid Organizaiton,NGOs,
Humanitarian Initiative Just Relief Aid Organization,no,#N/A,,
Humanitarian Outcomes,no,#N/A,,
Humanitarian Policy and Conflict Research,no,#N/A,,
Humanitarian Policy Group,no,#N/A,,
Humanitarian Relief Foundation,no,#N/A,,
HumaniTerra InterNational,no,#N/A,,
Humanity Brotherhood Association  for Human Rights,no,#N/A,,
Humanity First,no,#N/A,,
Humanity First USA,no,#N/A,,
Humedia InterNational,no,#N/A,,
Humedica,no,#N/A,,
Hungarian Baptist  Aid Organisation,no,#N/A,,
Hungarian Interchurch Aid,no,#N/A,,
Hungarian Malteser Charity Service,no,#N/A,,
Hungarian Red Cross,no,#N/A,,
Hungary,no,#N/A,,
Hungary Red Cross,no,#N/A,,
Hunger Alert,no,#N/A,,
Hydration Technology Innovations,private,#N/A,,
"Hyogo Prefecture, Japan",no,#N/A,,
Hyundai Motor Company,private,#N/A,,
Hy-Vee Inc.,private,#N/A,,
IAM - InterNational Assistance Mission ,no,#N/A,,
Ibdesch Patenschaften,no,#N/A,,
"Ibero-American States Organization for Education, Science & Culture",no,#N/A,,
IBIS,no,IBIS,NGOs,
IBM,private,#N/A,,
IBN SINA,private,#N/A,,
Ibon Foundation,private,#N/A,,
ICASE,private,#N/A,,
ICCO - Interchurch organisation for development co-operation,no,#N/A,,
ICDO - InterNational Civil Defence Organisation ,no,#N/A,,
ICDP - InterNational Child Development Programme,no,#N/A,,
Iceland,no,#N/A,,
Iceland Red Cross,no,#N/A,,
Icelandic Church Aid,private,#N/A,,
Icelandic Crisis Response Unit,no,#N/A,,
Icelandic Red Cross,no,#N/A,,
ICI Pakistan,private,#N/A,,
ICIMOD,no,#N/A,,
ICMA - InterNational City/County Management Association,no,#N/A,,
ICMPD/IOM,no,#N/A,,
ICU,no,#N/A,,
IDDEALES,private,#N/A,,
IDE Myanmar,no,#N/A,,
IDRC,no,#N/A,,
IFRC Disaster Relief Emergency Fund,no,#N/A,,
IFTIIN Education and Development Association,no,#N/A,,
IGAD Partnership Forum,no,#N/A,,
Igarapé,no,#N/A,,
IHI - InterNational Humanitarian Initiative,no,#N/A,,
IHS,no,#N/A,,
IICD - InterNational Institute for Communication and Development,private,#N/A,,
IIDA Women's Development Organization,no,#N/A,,
Iimaan Relief and Development Organization,no,#N/A,,
IKEA Foundation,private,#N/A,,
I-LIFE,no,#N/A,,
ILP-InterNational Law and Policy Group,no,#N/A,,
ILR,no,#N/A,,
IMA,no,#N/A,,
Impact Forum Norway,no,#N/A,,
Imperial College,no,#N/A,,
Inasmuch Foundation,private,#N/A,,
INDE - Intercooperaçao e Desenvolvimento (Portuguese NGO),no,#N/A,,
Independent Commission for Human Rights,private,#N/A,,
Indesch Patenschaften,no,#N/A,,
India,no,#N/A,,
India Red Cross,no,#N/A,,
Indian Red Cross Society,no,#N/A,,
Indivduell Mànniskohjàlp - Swedish NGO,no,#N/A,,
Indonesia,no,#N/A,,
Indonesia Red Crescent,no,#N/A,,
Indonesian Farmers Funds,no,#N/A,,
Indonesian Humanitarian Committee,private,#N/A,,
Indonesian Red Crescent Society,no,#N/A,,
INDONESIA-PALESTINE FRIENDSHIP INITIATIVE,no,#N/A,,
Indus Resource Centre,private,#N/A,,
Industri Energi (fagforbundet),private,#N/A,,
INETER,no,#N/A,,
Infineon Technologies,private,#N/A,,
InfoAsAid,private,#N/A,,
INFONOR,no,#N/A,,
Information Management and Mine Action Programs,private,Information Management and Mine Action Programs,NGOs,no
"Information Technology Outreach Services, U of Georgia",no,#N/A,,
ING Group Disaster Relief Fund,private,#N/A,,
Inglesia Morava,private,#N/A,,
Initiativ for Etisk Handel,no,#N/A,,
Initiative Congolaise pour la Gestion autonome des populations,no,#N/A,,
Initiative Development,private,#N/A,,
Initiative Developpement,private,#N/A,,
Initiative Développement,private,#N/A,,
Initiative Dritte Welt Braunau,no,#N/A,,
Initiative for Change,no,#N/A,,
Initiative for Development and Empowerment Axis,private,#N/A,,
INMED Partnership for Children,no,#N/A,,
Innovasjon Norge,private,#N/A,,
Innovative Development Organization,no,#N/A,,
Inprosula,private,#N/A,,
Insan Association,no,#N/A,,
INST. UNIV. DE HAUTES ETUDES INT.,no,#N/A,,
Institut Menzingen,no,#N/A,,
Institute for Human Rights and Business,no,#N/A,,
Institute for InterNational Co-operation and Development,no,#N/A,,
Institute for InterNational Social Affairs,no,#N/A,,
Institute for War and Peace Reporting,no,#N/A,,
Institute of Cultural Affairs Japan,no,#N/A,,
Institute of Development Studies,no,#N/A,,
"Institute of Human Rights Communication, Nepal ",no,#N/A,,
Institute of Water and Environment,private,#N/A,,
Instituto Cabo Verdiano de Accao Social Escolar,no,#N/A,,
Instituto Colombiano de Bienestar Familial,no,#N/A,,
Instituto de Directores de Mocambique,private,#N/A,,
Instituto de Estudios del Hambre ,no,#N/A,,
Instituto Dominicano de Desarrollo Integral ,private,#N/A,,
Instituto Sou da Paz,no,#N/A,,
Institutt for Journalistikk,no,#N/A,,
Institutt for Sosiologi og Samfunnsgeografi,no,#N/A,,
Integra LifeSciences Holdings Corporation,private,#N/A,,
Integrated Health Services,no,#N/A,,
Integrated Regional Information Network,no,#N/A,,
Integrated Rural Development and Nature Conservation,no,#N/A,,
Integrated Sustainable Livelihoods,no,#N/A,,
Integrationsrat,no,#N/A,,
Intel,private,#N/A,,
Inter Aide,no,#N/A,,
Inter Américain de Coopération Agricole ,no,#N/A,,
Inter Cooperation,no,#N/A,,
Inter Press Service,private,#N/A,,
Inter Religious Council,no,#N/A,,
InterAct,no,#N/A,,
InterAction,no,#N/A,,
Interaction in Development Foundation,no,#N/A,,
Inter-Actions,no,#N/A,,
Inter-American Development Bank,no,#N/A,,
Intercare,no,#N/A,,
Interchurch Medical Assistance,no,#N/A,,
Interchurch Organisation for Development Co-operation,no,#N/A,,
Intergov Authority on Development,no,#N/A,,
Intergov Authority on Development ,no,#N/A,,
Inter-Governmental Agency on Development,no,#N/A,,
Intergovernmental Organization,no,#N/A,,
Interkerkelijke Organisatie voor Ontwikkelingssamenwerking,no,#N/A,,
INTERMON,no,#N/A,,
Intermon Oxfam,no,#N/A,,
InterNational Action Network on Small Arms,no,#N/A,,
InterNational Agricultural Research Center,no,#N/A,,
InterNational Aid,no,#N/A,,
InterNational Aid Hand,no,#N/A,,
InterNational Aid Services,no,#N/A,,
InterNational Aid Services Denmark,no,#N/A,,
InterNational Air Transport Association,private,#N/A,,
InterNational Alert,no,#N/A,,
InterNational Alliances,no,#N/A,,
InterNational Assistance Mission,no,#N/A,,
InterNational Association for Maternal and Neonatal Health ,no,#N/A,,
InterNational Bank for Reconstruction & Development (World Bank),no,#N/A,,
InterNational Business Leaders Forum,private,#N/A,,
InterNational Campaign to Ban Landmines,no,#N/A,,
InterNational Catholic Migration Commission,no,#N/A,,
InterNational Center for Agricultural Research in Dry Areas ,no,#N/A,,
InterNational Center for Integrated Mountain Development,no,#N/A,,
"InterNational Centre for Diarrhoeal Disease Research, Bangladesh",no,#N/A,,
InterNational Centre for Migration Policy Development,no,#N/A,,
InterNational Centre for Transitional Justice,no,InterNational Centre for Transitional Justice,NGOs,
InterNational Cities of Refuge Network,private,#N/A,,
InterNational Civil Defense Organisation,no,#N/A,,
InterNational Coalition to Ban Uranium Weapons,no,#N/A,,
InterNational Commission Against Impunity,no,#N/A,,
International Commission against the Death Penalty - ICDP,no,#N/A,,
InterNational Commission of Jurists,no,#N/A,,
InterNational Commission on Missing Persons,no,#N/A,,
InterNational Committee for the Development of Peoples,no,#N/A,,
InterNational Committee of the Red Cross,no,#N/A,,
InterNational Corn Foundation,private,#N/A,,
InterNational Council of Voluntary Agencies,no,#N/A,,
InterNational Council on Human Rights Policy,no,#N/A,,
InterNational Criminal Court,no,#N/A,,
InterNational Criminal Police Organization - INTERPOL,private,#N/A,,
InterNational Criminal Tribunal for Rwanda,no,#N/A,,
InterNational Crisis Group,no,#N/A,,
InterNational Dalit Solidarity Network,no,#N/A,,
InterNational Development and Relief Foundation,no,#N/A,,
InterNational Development Enterprises,no,#N/A,,
InterNational Development Law Organisation,no,#N/A,,
InterNational Dispensary Association,private,#N/A,,
InterNational Emergency and Development Aid,no,InterNational Emergency and Development Aid,NGOs,
InterNational Emergency and Development Aid Relief,no,#N/A,,
InterNational Federation of Human Rights,no,#N/A,,
InterNational Federation of Journalist,private,#N/A,,
InterNational Federation of Journalists,private,#N/A,,
InterNational Federation of Red Cross and Red Crescent Societies,no,#N/A,,
InterNational Foundation for Education and Self Help,private,#N/A,,
InterNational Foundation for Election Systems,private,#N/A,,
InterNational Fund for Agricultural Development ,no,#N/A,,
InterNational Health Partners,no,#N/A,,
InterNational HIV/AIDS Alliance,no,#N/A,,
InterNational Human Rights Law Group,no,#N/A,,
InterNational Humanitarian City,no,#N/A,,
InterNational Humanitarian Fact-Finding Commission,no,#N/A,,
InterNational Humanitarian Fund LIBA,no,#N/A,,
InterNational Humanitarian Partnership,no,#N/A,,
InterNational Humanitarian Service,no,#N/A,,
InterNational Humanitarian Service ,no,#N/A,,
InterNational IDEA,no,#N/A,,
International Initiative for Impact Evaluation (3ie),no,#N/A,,
InterNational Institute for Democracy and Electoral Assistance - InterNational IDEA,no,#N/A,,
