indicator,year,region,n,value
Anaemia.No progress or worsening,2017,Middle Africa,,4
Anaemia.On course,2017,Middle Africa,,
Anaemia.Some progress,2017,Middle Africa,,5
Anaemia.Insufficient data to make assessment,2017,Middle Africa,,0
EBF.No progress or worsening,2017,Middle Africa,,1
EBF.On course,2017,Middle Africa,,4
EBF.Some progress,2017,Middle Africa,,0
EBF.Insufficient data to make assessment,2017,Middle Africa,,4
"Adult obesity, female.Insufficient data to make assessment",2017,Middle Africa,,0
"Adult obesity, female.Off course",2017,Middle Africa,,9
"Adult obesity, female.On course",2017,Middle Africa,,
"Adult obesity, male.Insufficient data to make assessment",2017,Middle Africa,,0
"Adult obesity, male.Off course",2017,Middle Africa,,9
"Adult obesity, male.On course",2017,Middle Africa,,
"Adult diabetes, female.Insufficient data to make assessment",2017,Middle Africa,,0
"Adult diabetes, female.Off course",2017,Middle Africa,,9
"Adult diabetes, female.On course",2017,Middle Africa,,0
Adult diabetes male.Insufficient data to make assessment,2017,Middle Africa,,0
Adult diabetes male.Off course,2017,Middle Africa,,9
Adult diabetes male.On course,2017,Middle Africa,,0
Antenatal care (4+ visits),2003-2016,Middle Africa,8,50
Skilled attendant at birth,1998-2016,Middle Africa,9,66
Initiation of breastfeeding within 1 hour after birth,2003-2016,Middle Africa,9,46
Continued breastfeeding at 1 year,1995-2016,Middle Africa,8,85
Unmet need for family planning,1993-2016,Middle Africa,8,25
"Severe acute malnutrition, geographic coverage",2012,Middle Africa,4,28
"Vitamin A supplementation, full coverage",2014,Middle Africa,6,79
Children under 5 with diarrhoea receiving ORS,2000-2016,Middle Africa,8,32
Immunization coverage (DTP3),2016,Middle Africa,9,73
Iodized salt consumption,2000-2013,Middle Africa,7,60
Exclusive breastfeeding 0-5 months (%),1999-2015,Middle Africa,8,37
Minimum acceptable diet 6-23 months (%),2010-2016,Middle Africa,7,7
Minimum dietary diversity 6-23 months (%),2010-2016,Middle Africa,6,23
Undernourishment (%),1990,Middle Africa,0,
Undernourishment (%),1999,Middle Africa,0,
Undernourishment (%),2009,Middle Africa,0,
Undernourishment (%),2014,Middle Africa,0,
Fruit and veg (grams),1990,Middle Africa,0,
Fruit and veg (grams),2000,Middle Africa,0,
Fruit and veg (grams),2010,Middle Africa,0,
Fruit and veg (grams),2013,Middle Africa,0,
Non-staples (%),1990,Middle Africa,0,
Non-staples (%),1999,Middle Africa,0,
Non-staples (%),2008,Middle Africa,0,
Non-staples (%),2011,Middle Africa,0,
Early childbearing: births by age 18 (%),2001-2015,Middle Africa,8,31
Gender Inequality Index (score),2015,Middle Africa,7,0.644
Female secondary education enrolment rate,2006-2012,Middle Africa,4,30
Physicians,1998-2015,Middle Africa,9,0.099
Nurses and midwives,1994-2015,Middle Africa,9,0.951
Community health workers,1992-2013,Middle Africa,0,
Drinking.Basic,2000,Middle Africa,9,39
Drinking.Limited,2000,Middle Africa,9,11
Drinking.Surface water,2000,Middle Africa,9,18
Drinking.Unimproved,2000,Middle Africa,9,30
Drinking.Safely managed,2000,Middle Africa,0,
Drinking.Basic,2010,Middle Africa,9,44
Drinking.Limited,2010,Middle Africa,9,12
Drinking.Surface water,2010,Middle Africa,9,14
Drinking.Unimproved,2010,Middle Africa,9,29
Drinking.Safely managed,2010,Middle Africa,0,
Drinking.Basic,2015,Middle Africa,9,46
Drinking.Limited,2015,Middle Africa,9,13
Drinking.Surface water,2015,Middle Africa,9,11
Drinking.Unimproved,2015,Middle Africa,9,29
Drinking.Safely managed,2015,Middle Africa,0,
Sanitation.Basic,2000,Middle Africa,9,24
Sanitation.Limited,2000,Middle Africa,9,17
Sanitation.Safely managed,2000,Middle Africa,0,
Sanitation.Unimproved,2000,Middle Africa,9,36
Sanitation.Open defecation,2000,Middle Africa,9,23
Sanitation.Basic,2010,Middle Africa,9,25
Sanitation.Limited,2010,Middle Africa,9,18
Sanitation.Safely managed,2010,Middle Africa,0,
Sanitation.Unimproved,2010,Middle Africa,9,36
Sanitation.Open defecation,2010,Middle Africa,9,21
Sanitation.Basic,2015,Middle Africa,9,26
Sanitation.Limited,2015,Middle Africa,9,18
Sanitation.Safely managed,2015,Middle Africa,0,
Sanitation.Unimproved,2015,Middle Africa,9,36
Sanitation.Open defecation,2015,Middle Africa,9,20
Agriculture,1990,Middle Africa,0,
Education,1990,Middle Africa,0,
Health,1990,Middle Africa,0,
Social protection,1990,Middle Africa,0,
Agriculture,2000,Middle Africa,4,3
Education,2000,Middle Africa,0,
Health,2000,Middle Africa,0,
Social protection,2000,Middle Africa,0,
Agriculture,2010,Middle Africa,0,
Education,2010,Middle Africa,0,
Health,2010,Middle Africa,0,
Social protection,2010,Middle Africa,0,
Agriculture,2012,Middle Africa,0,
Education,2012,Middle Africa,0,
Health,2012,Middle Africa,0,
Social protection,2012,Middle Africa,0,
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,Middle Africa,9,No legal measures
Extent of Constitutional Right to Food,2003,Middle Africa,7,Medium
Maternity protection (Convention 183),2011,Middle Africa,9,Yes
Wheat fortification legislation ,2015,Middle Africa,9,No fortification
Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2015,Middle Africa,9,No
Bringing people into a shared space for action (%),2017,Middle Africa,4,47
Ensuring a coherent policy and legal framework (%),2017,Middle Africa,4,46
Aligning actions around a common results framework (%),2017,Middle Africa,4,42
Financial tracking and resource mobilization (%),2017,Middle Africa,4,29
Total weighed score (%),2017,Middle Africa,4,41
Total population (000),2017,Northern Africa,6,233051
Under-5 population (000),2017,Northern Africa,6,28776
Urban population (%),2017,Northern Africa,6,52
>65 population (%),2017,Northern Africa,6,5
Under-5 mortality rate (deaths per 1000 live births),2015,Northern Africa,6,32
GDP per capita (PPP),2016,Northern Africa,5,9465
Poverty rates $1.90,2000-2013,Northern Africa,0,
Poverty rates $3.10,2000-2013,Northern Africa,0,
Stunting (millions),2016,Northern Africa,6,5
Wasting (millions),2016,Northern Africa,6,2
Overweight (millions),2016,Northern Africa,6,2.8
Stunting (%),2016,Northern Africa,6,17.6
Wasting (%),2016,Northern Africa,6,7.9
Overweight (%),2016,Northern Africa,6,10
Severe wasting (%),2016,Northern Africa,6,4
Low birth weight (%),2000-2012,Northern Africa,4,11
Adolescent overweight (%),2003-2014,Northern Africa,5,22
Adolescent obesity (%),2003-2014,Northern Africa,5,5
"Women of reproductive age, thinness (%)",1994-2015,Northern Africa,2,2
"Women of reproductive age, short stature (%)",1994-2015,Northern Africa,2,1
Women of reproductive age with anaemia (000),2016,Northern Africa,6,18613
Women of reproductive age with anaemia (%),2016,Northern Africa,6,32
Vitamin A deficiency in children 6-59 months (%),2013,Northern Africa,6,16
Population classification of iodine status,1996-2001,Northern Africa,5,Optimal iodine nutrition
"Raised blood pressure, Male (%)",2015,Northern Africa,6,26
"Raised blood pressure, Female (%)",2015,Northern Africa,6,26
"Raised blood glucose, Male (%)",2014,Northern Africa,6,13
"Raised blood glucose, Female (%)",2014,Northern Africa,6,15
"Raised blood cholesterol, Male (%)",2008,Northern Africa,6,35
"Raised blood cholesterold, Female (%)",2008,Northern Africa,6,41
"Adult overweight and obesity, Male (%)",2014,Northern Africa,6,48
"Adult overweight and obesity, Female (%)",2014,Northern Africa,6,60
"Adult obesity, Male (%)",2014,Northern Africa,6,16
"Adult obesity, Female (%)",2014,Northern Africa,6,31
Stunting.No progress or worsening,2017,Northern Africa,,1
Stunting.On course,2017,Northern Africa,,1
Stunting.Some progress,2017,Northern Africa,,0
Stunting.Insufficient data to make assessment,2017,Northern Africa,,4
Wasting.No progress or worsening,2017,Northern Africa,,2
Wasting.On course,2017,Northern Africa,,0
Wasting.Some progress,2017,Northern Africa,,0
Wasting.Insufficient data to make assessment,2017,Northern Africa,,4
Overweight.Off course,2017,Northern Africa,,1
Overweight.On course,2017,Northern Africa,,1
Overweight.Insufficient data to make assessment,2017,Northern Africa,,4
Anaemia.No progress or worsening,2017,Northern Africa,,5
Anaemia.On course,2017,Northern Africa,,
Anaemia.Some progress,2017,Northern Africa,,1
Anaemia.Insufficient data to make assessment,2017,Northern Africa,,0
EBF.No progress or worsening,2017,Northern Africa,,1
EBF.On course,2017,Northern Africa,,1
EBF.Some progress,2017,Northern Africa,,0
EBF.Insufficient data to make assessment,2017,Northern Africa,,4
"Adult obesity, female.Insufficient data to make assessment",2017,Northern Africa,,0
"Adult obesity, female.Off course",2017,Northern Africa,,6
"Adult obesity, female.On course",2017,Northern Africa,,
"Adult obesity, male.Insufficient data to make assessment",2017,Northern Africa,,0
"Adult obesity, male.Off course",2017,Northern Africa,,6
"Adult obesity, male.On course",2017,Northern Africa,,
"Adult diabetes, female.Insufficient data to make assessment",2017,Northern Africa,,0
"Adult diabetes, female.Off course",2017,Northern Africa,,6
"Adult diabetes, female.On course",2017,Northern Africa,,0
Adult diabetes male.Insufficient data to make assessment,2017,Northern Africa,,0
Adult diabetes male.Off course,2017,Northern Africa,,6
Adult diabetes male.On course,2017,Northern Africa,,0
Antenatal care (4+ visits),2003-2016,Northern Africa,5,70
Skilled attendant at birth,1998-2016,Northern Africa,6,87
Initiation of breastfeeding within 1 hour after birth,2003-2016,Northern Africa,5,37
Continued breastfeeding at 1 year,1995-2016,Northern Africa,6,71
Unmet need for family planning,1993-2016,Northern Africa,6,14
"Severe acute malnutrition, geographic coverage",2012,Northern Africa,0,
"Vitamin A supplementation, full coverage",2014,Northern Africa,0,
Children under 5 with diarrhoea receiving ORS,2000-2016,Northern Africa,5,27
Immunization coverage (DTP3),2016,Northern Africa,6,95
Iodized salt consumption,2000-2013,Northern Africa,5,54
Exclusive breastfeeding 0-5 months (%),1999-2015,Northern Africa,5,36
Minimum acceptable diet 6-23 months (%),2010-2016,Northern Africa,2,21
Minimum dietary diversity 6-23 months (%),2010-2016,Northern Africa,2,39
Undernourishment (%),1990,Northern Africa,0,
Undernourishment (%),1999,Northern Africa,0,
Undernourishment (%),2009,Northern Africa,0,
Undernourishment (%),2014,Northern Africa,0,
Fruit and veg (grams),1990,Northern Africa,4,489
Fruit and veg (grams),2000,Northern Africa,4,626
Fruit and veg (grams),2010,Northern Africa,4,766
Fruit and veg (grams),2013,Northern Africa,5,710
Non-staples (%),1990,Northern Africa,4,36
Non-staples (%),1999,Northern Africa,4,37
Non-staples (%),2008,Northern Africa,4,38
Non-staples (%),2011,Northern Africa,0,
Early childbearing: births by age 18 (%),2001-2015,Northern Africa,5,8
Gender Inequality Index (score),2015,Northern Africa,6,0.507
Female secondary education enrolment rate,2006-2012,Northern Africa,5,64
Physicians,1998-2015,Northern Africa,6,1.317
Nurses and midwives,1994-2015,Northern Africa,6,1.623
Community health workers,1992-2013,Northern Africa,0,
Drinking.Basic,2000,Northern Africa,5,70
Drinking.Limited,2000,Northern Africa,5,5
Drinking.Surface water,2000,Northern Africa,5,2
Drinking.Unimproved,2000,Northern Africa,5,12
Drinking.Safely managed,2000,Northern Africa,0,
Drinking.Basic,2010,Northern Africa,6,71
Drinking.Limited,2010,Northern Africa,5,6
Drinking.Surface water,2010,Northern Africa,6,2
Drinking.Unimproved,2010,Northern Africa,6,6
Drinking.Safely managed,2010,Northern Africa,0,
Drinking.Basic,2015,Northern Africa,6,73
Drinking.Limited,2015,Northern Africa,5,7
Drinking.Surface water,2015,Northern Africa,6,2
Drinking.Unimproved,2015,Northern Africa,6,3
Drinking.Safely managed,2015,Northern Africa,0,
Sanitation.Basic,2000,Northern Africa,6,40
Sanitation.Limited,2000,Northern Africa,6,5
Sanitation.Safely managed,2000,Northern Africa,5,41
Sanitation.Unimproved,2000,Northern Africa,6,5
Sanitation.Open defecation,2000,Northern Africa,6,15
Sanitation.Basic,2010,Northern Africa,6,41
Sanitation.Limited,2010,Northern Africa,6,6
Sanitation.Safely managed,2010,Northern Africa,5,45
Sanitation.Unimproved,2010,Northern Africa,6,7
Sanitation.Open defecation,2010,Northern Africa,6,9
Sanitation.Basic,2015,Northern Africa,6,42
Sanitation.Limited,2015,Northern Africa,6,6
Sanitation.Safely managed,2015,Northern Africa,5,47
Sanitation.Unimproved,2015,Northern Africa,6,7
Sanitation.Open defecation,2015,Northern Africa,6,6
Agriculture,1990,Northern Africa,4,5
Education,1990,Northern Africa,4,16
Health,1990,Northern Africa,4,4
Social protection,1990,Northern Africa,4,1
Agriculture,2000,Northern Africa,4,5
Education,2000,Northern Africa,4,21
Health,2000,Northern Africa,4,4
Social protection,2000,Northern Africa,4,6
Agriculture,2010,Northern Africa,0,
Education,2010,Northern Africa,3,14
Health,2010,Northern Africa,3,5
Social protection,2010,Northern Africa,3,21
Agriculture,2012,Northern Africa,0,
Education,2012,Northern Africa,0,
Health,2012,Northern Africa,0,
Social protection,2012,Northern Africa,0,
National Implementation of the International Code of Marketing of Breast Milk Substitutes,2016,Northern Africa,6,Few provisions in law
Extent of Constitutional Right to Food,2003,Northern Africa,3,Medium
Maternity protection (Convention 183),2011,Northern Africa,6,Yes
Wheat fortification legislation ,2015,Northern Africa,5,No fortification
Existence of evidence-based national guidelines/protocols/standards for the management of major NCDs through a primary care approach,2015,Northern Africa,6,No
Bringing people into a shared space for action (%),2017,Northern Africa,,
Ensuring a coherent policy and legal framework (%),2017,Northern Africa,,
Aligning actions around a common results framework (%),2017,Northern Africa,,
Financial tracking and resource mobilization (%),2017,Northern Africa,,
Total weighed score (%),2017,Northern Africa,,
Total population (000),2017,Northern America,2,361084
Under-5 population (000),2017,Northern America,2,21660
Urban population (%),2017,Northern America,2,82
>65 population (%),2017,Northern America,2,16
Under-5 mortality rate (deaths per 1000 live births),2015,Northern America,2,6
GDP per capita (PPP),2016,Northern America,2,52239
Poverty rates $1.90,2000-2013,Northern America,0,
Poverty rates $3.10,2000-2013,Northern America,0,
Stunting (millions),2016,Northern America,1,1
Wasting (millions),2016,Northern America,,
Overweight (millions),2016,Northern America,2,1.7
Stunting (%),2016,Northern America,1,2.3
Wasting (%),2016,Northern America,,
Overweight (%),2016,Northern America,2,7.8
Severe wasting (%),2016,Northern America,,
Low birth weight (%),2000-2012,Northern America,2,8
Adolescent overweight (%),2003-2014,Northern America,0,
Adolescent obesity (%),2003-2014,Northern America,0,
"Women of reproductive age, thinness (%)",1994-2015,Northern America,0,
"Women of reproductive age, short stature (%)",1994-2015,Northern America,0,
Women of reproductive age with anaemia (000),2016,Northern America,2,10567
Women of reproductive age with anaemia (%),2016,Northern America,2,13
Vitamin A deficiency in children 6-59 months (%),2013,Northern America,0,
Population classification of iodine status,1996-2001,Northern America,1,Risk of iodine induced hyperthyroidism
"Raised blood pressure, Male (%)",2015,Northern America,2,15
"Raised blood pressure, Female (%)",2015,Northern America,2,11
"Raised blood glucose, Male (%)",2014,Northern America,2,8
"Raised blood glucose, Female (%)",2014,Northern America,2,6
"Raised blood cholesterol, Male (%)",2008,Northern America,2,53
"Raised blood cholesterold, Female (%)",2008,Northern America,2,54
"Adult overweight and obesity, Male (%)",2014,Northern America,2,72
"Adult overweight and obesity, Female (%)",2014,Northern America,2,63
"Adult obesity, Male (%)",2014,Northern America,2,33
"Adult obesity, Female (%)",2014,Northern America,2,34
Stunting.No progress or worsening,2017,Northern America,,0
Stunting.On course,2017,Northern America,,0
Stunting.Some progress,2017,Northern America,,0
Stunting.Insufficient data to make assessment,2017,Northern America,,2
Wasting.No progress or worsening,2017,Northern America,,0
Wasting.On course,2017,Northern America,,0
Wasting.Some progress,2017,Northern America,,0
Wasting.Insufficient data to make assessment,2017,Northern America,,2
Overweight.Off course,2017,Northern America,,0
Overweight.On course,2017,Northern America,,0
Overweight.Insufficient data to make assessment,2017,Northern America,,2
Anaemia.No progress or worsening,2017,Northern America,,2
Anaemia.On course,2017,Northern America,,
Anaemia.Some progress,2017,Northern America,,0
Anaemia.Insufficient data to make assessment,2017,Northern America,,0
EBF.No progress or worsening,2017,Northern America,,0
EBF.On course,2017,Northern America,,0
EBF.Some progress,2017,Northern America,,0
EBF.Insufficient data to make assessment,2017,Northern America,,2
"Adult obesity, female.Insufficient data to make assessment",2017,Northern America,,0
"Adult obesity, female.Off course",2017,Northern America,,2
"Adult obesity, female.On course",2017,Northern America,,
"Adult obesity, male.Insufficient data to make assessment",2017,Northern America,,0
